"","Assessment","Question","Proof","Identify.Base.Case","Prove.Base.Case","Hypothesis.is.stated","Hypothesis.is.given.some.bound","Goal.is.Clear","Expression.of.Size.k.1.is.decomposed.into.expression.of.size.k","Inductive.Hypothesis.is.applied","Graded.By"
"1","Exam 4","learningStudy/WrittenInduction_Sum_v3","Let $n$ be some arbitrary natural number.

Base case: $\sum_{p=0}^{0}(p*p!)=(0*1)=0$ which is equal to $(0+1)!-1=(1!)-1=0$

Inductive hypothesis: For some $k$, $\sum_{p=0}^{n}(p*p!)=(n+1)!-1$ where $n=0...k$.

Inductive step: Show that $\sum_{p=0}^{k+1}(p*p!)=((k+1)+1)!-1$.",2,2,2,2,2,0,0,"Seth"
"2","Exam 4","learningStudy/WrittenInduction_Sum_v3","
Base case: n = 0. $\sum_{p=0}^{n}(p\times p!)=0=(n+1)! - 1$.

Inductive hypothesis: Assume that the claim works for all natural numbers n, and prove that it works for natural number $n+1$.

Inductive steps:  $\sum_{p=0}^{n+1}(p\times p!)= (n+1)(n+1)!\times\sum_{p=0}^{n}(p\times p!)=(n+1)(n+1)!((n+1)!-1)$. Then, we can rewrite the function, so it will be $(n+2)!-1$. ",2,2,2,1,2,1,2,"Seth"
"3","Exam 4","learningStudy/WrittenInduction_Sum_v3","base: when n = 0, this is true,
IH: the claim is true when n = 0,1,2,3,,,,,,k-1",2,1,2,2,0,0,0,"Seth"
"4","Exam 4","learningStudy/WrittenInduction_Sum_v3","$\sum_{0}^{k-1}$ (p*p!) = k! - 1

base case: 0 * 0! = 0 

(0 + 1)! - 1 = 0
0 * 0! = (0 + 1)!

",2,2,0,0,0,0,0,"Seth"
"5","Exam 4","learningStudy/WrittenInduction_Sum_v3","Let's do this using proof by induction. Let's have the base case be that when p = 0, (p*p!) = 0.

Now, let's take the example of p = k. When solving into the euqation that we had above, we get k * k!. We can rewrite this as ((k+1)-1) * k! which becomes (k+1)! - 1. Now we need to prove this for k+1. This gives us (k+1) * (k+1)! which can be written as ((k+2) - 1)*k! which becomes k+1! - 1. 

Hence, we have proved that (n+1)! - 1.",2,1,0,0,0,0,0,"Seth"
"6","Exam 4","learningStudy/WrittenInduction_Sum_v3","Let $\sum_{p = 0}^{n} p \cdot p! = (n+1)! - 1$ be the predicate.

Base case: Let $n = 0$. Then we have $\sum_{p = 0}^{n} p \cdot p! = 0 \cdot 1 = 0$ and $(n+1)!-1 = 1! - 1 = 0$. So the base case holds.

Our inductive hypothesis is that for some $k$, $\sum_{p = 0}^{n} p \cdot p! = (n+1)! - 1$ is true for all $0, 1, 2, ... k$. Then, in our inductive step we want to show that $\sum_{p = 0}^{k+1} p \cdot p! = (k+2)!-1$.

We can rewrite the summation $\sum_{p = 0}^{k+1} p \cdot p!$ as $\sum_{p = 0}^{k} p \cdot p! + (k+1)\cdot (k+1)!$. By the inductive hypothesis, we know that $\sum_{p = 0}^{k} p \cdot p! = (k+1)! - 1$. Substituting this value into our equation, we have that $(k+1)! - 1 + (k+1)\cdot (k+1)!$, which we can factor and further manipulate into

$(k+1)! \cdot (k+1 + 1) - 1 = (k+1)! \cdot(k+2) - 1 = (k+2)! \cdot (k+2)$.

Thus, we have shown that $\sum_{p = 0}^{k+1} p \cdot p! = (k+2)!-1$, which is what we needed to complete the proof.",2,2,2,2,2,2,2,"Seth"
"7","Exam 4","learningStudy/WrittenInduction_Sum_v3","We'll need to prove that $\sum_{p=0}^{n}(p*p!)=(n+2)!-1$.",0,0,0,0,0,0,0,"Seth"
"8","Exam 4","learningStudy/WrittenInduction_Sum_v3","Induction by n
 
Base Case: 
 
when n = 0,  $\sum_{p=0}^{0}$(0.0!) = 0 = (0+1)!-1
 
When n = 1, $\sum_{p=0}^{1}$(1.1!) = 1 = (1+1)! - 1

Inductive Hypothesis : For all n belongs to n, let $\sum_{p=0}^{n}$(p.p!) = (n+1)!-1 for all 1,2....k.

Inductive Step: Showing that $\sum_{p=0}^{k+1}$ = (k+1 + 1)! - 1 = (k+2)! - 1

Thus, $\sum_{p=0}^{n}$(p.p!) = (n+1)!-1, which is what we needed to show.
 
",2,2,2,1,2,0,0,"Seth"
"9","Exam 4","learningStudy/WrittenInduction_Sum_v3","Base case: n = 0, then (0+1)! - 1 = 1 - 1 = 0.
Suppose as our Inductive Hypothesis that sum from p=0 to n of (p * p!) for n in 0...k (k >= 0).
Then, we have sum from p=0 to k of (k * k!) = (k + 1)! - 1. ",2,2,1,2,0,0,0,"Seth"
"10","Exam 4","learningStudy/WrittenInduction_Sum_v3","Base Case: n = 0, then $\sum_{p=0}^{n}$ (p*p!) = 0. n = 1, then $\sum_{p=0}^{n}$ = 1. n = -1, then $\sum_{p=0}^{n}$ = 0.

Inductive hypothesis: Then, for all k,  $\sum_{p=0}^{k}$ (p*p!) = (k + 1)! - 1.

Inductive step: Because base cases are true, then hypothesis is true.",2,1,2,0,0,0,0,"Seth"
