"","Assessment","Question","Proof","Identify.Base.Case","Prove.Base.Case","Hypothesis.is.stated","Hypothesis.is.given.some.bound","Goal.is.Clear","Expression.of.Size.k.1.is.decomposed.into.expression.of.size.k","Inductive.Hypothesis.is.applied","Graded.By"
"1","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Let the base case be for n = 0: 

At n = 2, 2n^3 + 3n^2 + n = 0 which is divisible by 6

Inductive hypothesis: Suppose for all n that is represented by integers k ranging from 0 to k, 2n^3 + 3n^2 + n is divisble by 6

Inductive step: prove that 2(k + 1)^3 + 3(k + 1)^2 + k

expand the the factorial which reults in a polynomial with all of the k's being intgers and the coefficients being factors of 6. Thus, the whole expression is divisible by 6 due to transitivity.",2,2,2,2,1,0,0,"Seth"
"2","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Taking the base case , n = 0 we get 2(0)^3 + 3(0)^2 + 0 = 0 which is divisible by 6. Thus the claim is true for base case.

Let the claim be true for all integers n in (0,1,2...k),. 
So, 6 | 2k^3+3k^2+k

The goal is to prove that it is true for k+1 also. 

2(k+1)^3 + 3(k+1)^2 + k + 1 = (k+1)(2(k+1)^2 + 3 (k+1) + 1) = (k+1)(2k^2+7k+6) = 2k^3 + 9k^2 + 13k + 6 = (2k^3 + 3k^2 + k ) + 6(k^2 + 2k + 1) which is clearly divisible by 6. 
",2,2,2,2,2,2,2,"Seth"
"3","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","base case: defintion of divisibility a|b  for some integer k, k = a * 6

inductive hypothesis:

inductive step:

For any natural number n, 2n^3+3n^2+n is divisible by 6. QED",0,0,0,0,0,0,0,"Seth"
"4","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","I am not sure how to go about this. I would probably do the following steps: inclusive predicate, base case, inductive hypothesis, inductive step, and then finish the proof. The base case would probably be p = 0 and p = 1, and then I would extend that to the remainder of the natural numbers by using an inductive hypothesis that encompasses k+1.",2,0,0,0,0,0,0,"Seth"
"5","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","We will use proof by induction

For any natural number n, 2n^3+3n^2+n is divisible by 6.

Base Case: Natural number are all non-positive number, so consider the base case when n = 0, 2n^3+3n^2+n is divisible by 6. And then consider when n = 1, then 2n^3+3n^2+n equals to 6, which is also divisible by n.

Induction Hypothesis: For some value k, 2n^3+3n^2+n is divisible by 6 for any natural number n which is in 0...k.

Induction Step: Consider for k, 2k^3+3k^2+k and is divisible by 6.

Induction Result:

So for any natural number n, 2n^3+3n^2+n will be divisible by 6, which is what we need to prove.",2,2,2,2,0,0,0,"Seth"
"6","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","The base case is n = 0, and 0 is divisible by 6.
Suppose as our Inductive Hypothesis that 2n^3 + 3n^2 + n is divisible by 6 for n in 0...k(k>=0).
We need to prove that 2(n+1)^3 + 3(n+1)^2 + n + 1 is also divisible by 6.
The equation equals (2n^3 + 3n^2 + n) + 6(n^2 +2n +1), which is clearly divisible by 6.
And this is what we needed to know.",2,2,2,2,2,2,2,"Seth"
"7","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Base case: $n=0, 2*0^3+3*0^2+0=0$, which is divisble by 6.

Inductive hypothesis: $2n^3+3n^2+n$ is divisible by 6 for $n$ in $0, ... k$

Inductive step: $2(n+1)^3+3(n+1)^2+(n+1)$ is divisible by 6.

Simplifying the above, we get $2(n^3+3n^2+3n+1)+3(n^2+2n+1)+(n+1)$

$2n^3+6n^2+6n+2+3n^2+6n+3+n+1$

$2n^3+9n^2+13n+6$

$2n^3+3n^2+n+6n^2+12n+6$

From our inductive hypothesis, we know that $2n^3+3n^2$ is divisible by 6.

Let $K = n^2$ and $P = 2n$.

Since $n$ is a whole number, we know that $K$ and $P$ must be integers as well.

Thus, we can rewrite $6n^2$ as $6K$ and $12n$ as $6P$.

From the definition of divisibility, we know that $6n^2$ and $12n$ must be divisble by 6. And obviously 6 is divisble by 6.

So $2n^3+3n^2+n+6n^2+12n+6$ is a sum of numbers divisble by 6, which means it is also divisble by 6. QED.
",2,2,2,2,2,2,2,"Seth"
"8","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Let n be a natural number.

Suppose 2n^3 + 3n^2 + n is divisible by 6.

The base case is n = 1, where 2^3 + 3^2 + 1 = 18, which is divisible by 6.

The induvtive hypothesis is that for some k, 2n^3 + 3n^2 + n is divisible by 6 where n = 0,...,k.

Thus, 2k^3 + 3k^2 + k.

k(2k^2 + 3k + 1) = k(2k + 1)(k + 1).

By inductive hypothesis, k is divisible by 6. 

Since (2k+1) and (k+1) multiply k, and k is divisble by 6, then 2k^3 + 3k^2 + k is divisible by 6.

Thus, 2n^3 + 3n^2 + n is divisible by 6.",2,1,2,2,1,0,0,"Seth"
"9","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","2(k+1)^3 + 3(k+1)^2 + k + 1

",0,0,0,0,0,0,0,"Seth"
"10","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Proof by Induction on n

For our base case, note that when n=0 2n^3+3n^2+n=2(0)+3(0)+0=0 which is divisible by 6

Suppose as our Inductive Hypothesis that 2n^3+3n^2+n for n in 0...k k$\geq$0

Now to finish we need to show that 2k^3+3k^2+k is divisible by 6

",2,2,2,2,1,0,0,"Seth"
"11","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For the base case $n=0$ we know that 0+0+0=0 which is indeed divisible by 6

Continuing we need to show that for any $n=1,2,3,...k$ the proposition is divisible by 6

So $2(k+1)^3+3(k+1)^2+(k+1)$

This expands to $2(k^3+3k^2+3k+1)+3(k^2+2k+1)+k+1$

$2k^3+6k^2+6k+2 +3k^2+6k+3+k+1$

From this we can take out the terms $2k^3+3k^2+k$ which we know is divisible by 6 as $6n$

$6n+6k^2+6k+6$ which is $6(a)$ for some integer $a$ and this is divisible by 6
",2,2,1,2,1,2,2,"Seth"
"12","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","in our base case n = 0, note that 2(0)^3+3(0)^2+0 = 0, which is divisible by 6. 

let our inductive hypothesis be for some k, 2n^3 + 3n^2 + n is divisible by 6 for each n in 0...k.

",2,2,2,2,0,0,0,"Seth"
"13","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For n = 1, 2(1)^3 + 3(1)^2 + 1 = 6.

6 is divisible by 6, so this is proves.

For n = 3, 2(3)^3 + 3(3)^2 + 3 = 54 + 27 + 3 = 84.

84 divided by 6 is 14. This proves the claim.",2,2,0,0,0,0,0,"Seth"
"14","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Claim: For any natural number n, $2n^3 + 3n^2 + n$ is divisible by 6.

Proof: We will prove this claim by induction.

Base Case: When n = 0, $2(0)^3 + 3(0)^2 + 0$ = 0, which is divisible by 6.

We will assume that $2n^3 + 3n^2 + n$ is divisible by 6 for n=0...k, where k is some natural number n.

When n = k+1, $2(k+1)^3 + 3(k+1)^2 + (k) = 2k^3 + 3k^2 + k + 6k^2 + 12k + 5$. We know that $2k^3 + 3k^2 + k$   is divisible by 6, and by the definition of remainder, we can conclude that the rest is also divisible by 6, which is what we wanted to prove. Through mathematical induction, we can conclude that $2n^3 + 3n^2 + n$ is divisible by 6. ",2,2,2,2,1,2,2,"Seth"
"15","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","2*n^3 + 3*n^2 + n = n*(2*n^2+3*n+1) = n*(2*n+1)*(n+1). Since n is a natural number, there must be one number between n and n + 1 that is divisible by 2. Multiply the formula by four first and devide it by four as: 2*n*(2*n+1)*(n+1)*2/4 = 2*n*(2*n+1)*(2*n+2)/4. Again since n is a natural number, one of 2n, 2n+1 and 2n+2 must be divisible by 3. Since 4 contains no factor 3, n*(2*n+1)*(n+1) must be divisible by 3. Since n*(2*n+1)*(n+1) is divisible by both 2 and 3, it is divisible by 6, thus the original formula 2*n^3 + 3*n^2 + n must also be divisible by 6, which is what we need to show.",0,0,0,0,0,0,0,"Seth"
"16","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Proof (By induction):

Base Case: 
Let $n = 1$. 2*1^3 + 3*1^2 + 1 = 6. 6 divides 6 so the base case holds. 

Induction hypothesis: Let there be a natural number k such that for all n <= k, the proposition P(n) stated in the question holds. We will show that P(k+1) also holds. 

2(k+1)^3 + 3*(k+1)2 + (k+1) can be simplified down to a number that is divisible by 6 through using the induction step. (I ran out of time to show the full steps)

Since we showed that the proposition $P(k) \implies P(k+1)$ for all natural numbers k, then this proposition is proved by induction.

",2,2,2,2,2,0,0,"Seth"
"17","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Proof: For any natural number n, 2n^3 + 3n^2 + n is divisible y 6 by iniducition

Base Case: For n = 0, we get an output of 0, which is divisible by 6, proving the base case

Induction Hypothesis: For a natural number k, 2n^3 + 3n^2 +n is divisible by 6 for n is 0,1,2.....k

Induction Step: 2(k+1)^3 + 3(k+1)^2 + (k+1) is divisible by 6 for any natural number k

Prove: By plugging in a natural number k, such as 3, we can see that 2(4)^3 + 3(4)^2 + 4 = 64*2 + 48 + 4 = 52 + 128 = 180 which is in fact divisible by 6. As we go down the line of induction, we can see that for every natural number k, the induction hypothesis is correct. 

Conclusion: By proving the induction hypothesis, we can conclude for any natural number n, 2n^3 + 3n^2 + n is divisible by 6",2,2,2,2,2,0,0,"Seth"
"18","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Suppose 2k^3 + 3k^2 + k for k is any natural number is divisible by 6. 6 | 2k^3 + 3k^2 + k. 6 | k (2k^2 + 3k + 1). 6 | k(2k + 1)(k+1) | k = 0, 6 | 0. k = 1, 6 | (6). ",2,2,0,0,0,0,0,"Seth"
