,Unnamed: 0,Assessment,Question,Proof,Identify.Base.Case,Prove.Base.Case,Hypothesis.is.stated,Hypothesis.is.given.some.bound,Goal.is.Clear,Expression.of.Size.k.1.is.decomposed.into.expression.of.size.k,Inductive.Hypothesis.is.applied,Graded.By,Semester
0,1,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"let n be a natural number,
since g(n) = g(n-1) + 1/3g(n-1) -1/3g(n-2), g(n-1)= g(n-2) + 1/3g(n-2) - 1/3g(n-3). Thus, g(n) = 1/3g(n-1) + g(n - 2) -1/3g(n-3).Following this sequence,  g(n) = 1/3g(n-1) + 1/3g(n-2) + ... + g(1) - 1/3g(0). Since we can irrtate this fuction once agian to get 1/3(g(n-1))= 1/9g(n-2) + 1/9g(n-3)+...+ 1/3g(1) - 1/9g(0).
So, the sum of 1/(3^n)*(4/3)*n. It is equals to(2(3^n-1))/(3^n)
Then, g(n) = 2 -2/3n.
QED",0,0,0,0,0,0,0,Seth,sp22
1,2,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"g(0) = 0,
g(1) = 4/3,
g(2) = 16/9,
g(3) = 64/27 - 4/9 = 52/27
g(4) = 208/81 - 16/27 = 160/81

let n = k-1. for some natural number k:
g(k-1) = 4/3g(k-2) - 1/3g(k-3)

let n = k. for some natural number k:
g(k) = 4/3g(k-1) - 1/3g(k-2)

let n = k + 1, for some natural number k:
g(k+1) = 4/3g(k) - 1/3g(k-1).

g(k+1) = 4/3(4/3g(k-1) - 1/3g(k-2)) - 1/3(4/3g(k-2) - 1/3g(k-3)).

g(k+1) = 16/9g(k-1) - 4/9g(k-2) - 4/9g(k-2) +1/3g(k-3)

g(k+1) = 16/9g(k-1) - 8/9g(k-2) + 1/3g(k-3)

g(k+1) can be expressed from g(k-1), g(k-2), and g(k-3).

I'm not sure where to go from here.
",0,0,0,0,0,2,0,Seth,sp22
2,3,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Lets prove g(n) = 2 - 2/(3^n) through induction for a natural number n. 

We know that g(0) = 0 and g(1) = 4/3 and g(n) = 4/3 g(n-1) - 1/3g(n-2) for n>=2. We can first prove our hypothesis by plugging in 2 for n >= 2. Put into the equation, we get 16/9 or 4/3.

Thus, we can re-write g(n) as 1/3(4(g(n-1) - g(n-2)). This is equivalent to 2 - 2/3^n, which is what we needed to show.

Q.E.D.

// sorry i dont know these better. I read the chapter during the first part but my memory of the content is not the best.
",0,0,0,0,0,0,0,Seth,sp22
3,4,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"I'm not sure what induction is. g(n) = 4/3 * (g(n-1)) - 1/3 * g(n-2). thus, g(n) = 4/3^(n-1) - 1/3 ^ (n-2); thus 4^n-1 / 3^n-1 - 1^n-2/3^n-2; combining them, 4^(n-1) * 3^(n - 2) - 3^ (n-1) /3^(2n -3) = 3^n-1 ( 4^n-1 - 3) / 3 ^ 2n-1 = 4^n-1 - 3 / 3^n = 4^ (n-1)/ 3^n - 3/3^n. I don't know where to go anymore. ",0,0,0,0,0,0,0,Seth,sp22
4,5,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"if g(1) = 4/3 and g(0) = 0, we can plug those values in to check that they work for the equation of g(n)
g(0) = 2 - 2 = 0 works.
g(1) = 2 - 2/3 = 4/3 works.",2,2,0,0,0,0,0,Seth,sp22
5,6,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,This is true because 4/3 g(n-1) - 1/3g(n-2) must be greater than 2. Which is why we say g(n) is equal to 2 minus a second expression.,0,0,0,0,0,0,0,Seth,sp22
6,7,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Suppose n is a natural number.  

Thus, g(n)=2-2/3^n, which is what we needed to prove. ",0,0,0,0,0,0,0,Seth,sp22
7,8,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"The first few values of the function are: 0, $\frac{4}{3}$, $\frac{16}{9}$, $\frac{52}{27}$, $\frac{160}{81}$, $\frac{484}{243}$. The denominator will always be 3^n. Also, the numerator always equals 4+3(the previous numerator). If the previous numerator is equal to $2(3^(n-1)-1)$, then we know that the numerator at any given $n = 2(3^n - 1)$. That means that the value g(n) = $\frac{2(3^n - 1)}{3^n}$ = $2-\frac{2}{3^n}$",0,0,0,0,0,0,0,Seth,sp22
8,9,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Prove: g(n) = 2 - 2/3^n for any natural number n. 

base type: show that g(2) = 2 - 2/3^n. g(2) = 4/3g(1) - 1/3g(0) = 4/3 * 4/3 = 16/9. g(2)=2-2/3^2 = 16/9.

Induction: show that g(n) = 2 - 2/3^n works for all natural numbers. 

not sure how to use induction to prove this. ",1,1,0,0,0,0,0,Seth,sp22
9,10,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,we can use the values of g(1) to figure out that that there is some sequence of g(n)s that make up any n. So there is some g(x) which is equal to g(n-1) but it would have the same expression as g(n). I am not really sure how to use induction.,0,0,0,0,0,0,0,Seth,sp22
